Actual Price,Predicted Price
947914,956221.7408088419
1045163,1072213.061058652
1651133,1681724.7257165285
880777,905555.6240034011
1610498,1596457.307607256
1191627,1201564.5570075049
1695818,1676548.5816138291
1250626,1243966.988796666
1146125,1169095.5295583117
1473860,1480937.9507796292
1690979,1681442.8196869907
2691887,2655636.2735756193
1787593,1755640.2267030685
1667929,1666650.6288967344
1619453,1632551.8667853663
1133073,1126367.1163973357
1326424,1292729.9921512313
2177537,2143864.68019531
1625445,1608473.7673073083
1456728,1462842.7793420933
1652925,1653306.5383537798
1789345,1770576.5769988662
1219526,1209959.3582534413
1177678,1203189.005048325
1268820,1254507.1040137287
1358289,1349046.1714077147
1117624,1141528.750345359
1625535,1610776.5464631838
1048758,1048854.0762676492
1390996,1394702.0937938716
1090312,1088895.6258308708
1197852,1214972.8802596168
1376548,1390011.1343849923
1834732,1834530.3824826775
1253581,1246219.3998573448
811714,791781.9573792086
1454536,1466997.0133740783
1725435,1725876.8189210386
832283,838168.3572723101
1329992,1395658.4260670047
1437027,1439153.267318346
1353745,1338006.7080563782
912233,940644.1586726051
1023691,1045046.2746076384
1765757,1766413.1714327142
1300215,1321336.070558267
1653541,1654105.078358649
941871,947365.3138937899
957674,935319.4687476284
1017101,1010888.6571819689
1243440,1262248.0596383854
1248059,1272274.7863240968
1417558,1426491.7525036223
1536652,1526990.4124848365
1885316,1886070.7437963535
1475365,1502499.7717290034
1755058,1751848.2347302367
853638,841494.509256661
1462325,1428313.1131021585
965103,972491.6436920816
884411,884855.1648051343
711846,703441.390509977
1341073,1354050.2197595758
1469762,1429783.3158859794
2150679,2138055.7720632777
1001419,1000129.7848218589
1512149,1478151.3821819911
1637540,1624585.3112193453
1391105,1399330.448149964
1622348,1638160.2229995588
1675611,1700207.5984865741
657202,688202.0559951747
1144403,1170168.5104787431
1766943,1791322.3861964694
1025797,1079830.0638005754
797716,788864.7416108713
1101914,1110717.769631591
1240380,1228636.4531302962
1256943,1250446.446501854
1023791,1025589.085630007
1576896,1557639.0886420833
1075831,1072604.7523913353
1985809,1945802.2681621294
1154474,1161531.041000391
1722589,1693875.8103089037
1785452,1755400.860129638
1175009,1174076.3149137713
1648702,1633697.5863644015
1737724,1734932.267944529
1126512,1129946.5332276123
1508323,1472000.635607753
1400751,1392150.7329680002
821647,842748.5573580799
933765,946980.8495751756
1690604,1684316.7692393768
1126424,1117446.4054359295
922899,915464.8758103591
1738001,1732471.0930595202
1264201,1293607.426913984
1144070,1119029.1063580927
1012054,1000913.8302091467
1282296,1292221.3006444874
1075732,1091439.9393943495
1632095,1612108.0647977965
1381939,1382506.2572861603
1005967,1039012.5998813725
1330581,1301810.5811898168
990969,994835.9241997228
2120702,2093042.4133866813
1717358,1684908.288180727
1390725,1409249.4920275186
1445814,1432322.779942223
1419111,1401248.4125956444
1110001,1107133.159677039
1370807,1368989.0623423697
2159394,2151107.265075605
1166515,1149760.1784861689
1734825,1731277.2610051837
1243590,1232908.0160420784
1485581,1480776.4454159327
1039011,1038878.3731787825
1411488,1409378.566154853
1534893,1531592.5303253497
1021635,998177.7766340316
1036945,1014136.3073511615
1303236,1293944.7194656392
1049536,1032611.0162246685
1130825,1121369.9049214453
1301840,1285678.2643218436
1933100,1925678.2359866474
1655639,1672621.2037692254
2044385,2028402.282222863
1844378,1839567.0844434262
1029853,1062295.0341893886
1474426,1481906.5970943975
782588,794126.1607151671
1413389,1409513.0616689164
1207885,1231686.15195156
1877999,1882152.9004811912
794890,789751.9633368687
1380743,1390553.9771304312
945726,946087.0205419452
1163362,1146217.2510178764
1122181,1111565.3747319684
1721074,1718275.4464889986
1135758,1116385.275710991
2265547,2286549.9734365502
1539097,1531310.127292071
959490,946457.8975964935
1053591,1075431.8103023814
1522861,1503152.258652536
1193076,1188118.3279005354
1308270,1312100.9528094647
1183474,1207836.3385648902
759781,755846.0118237432
943999,935908.1025065718
1519132,1525448.072879652
1698578,1708213.4007162545
1387331,1396728.451426065
1065163,1055933.7670846428
1110116,1134860.1051515918
1139692,1143325.9642109436
1065412,1084467.6801351954
1586253,1613327.5363012867
998917,1000775.0662943133
1277206,1278964.0234628066
1638633,1638069.281933021
1558129,1534406.363769309
802358,813424.7392969346
914418,928490.4181796567
1687429,1679579.791370471
1339705,1356492.2281689504
1385677,1389297.466903238
994204,1048346.6007522955
694066,738781.1567509421
1485514,1504153.6529966781
909727,910687.6869113547
1259474,1252272.7443875154
661228,699342.1491237788
1088550,1084540.2751342698
1647369,1645322.6652523687
1873661,1844924.7568663124
1924332,1885720.7395384512
1112700,1122763.0725342438
1610568,1606292.1111118484
1116175,1084243.9160078678
947876,959833.2265984211
1076392,1088689.7036835027
1678860,1698999.5446228965
1940683,1903291.83514207
1188167,1268177.8735869788
1135758,1109433.786650428
1397443,1374890.2109672225
1772352,1761667.4482319152
1287469,1302197.3108558576
1374817,1391323.8922043827
1072674,1066487.026591472
1835839,1827732.5272645003
1557046,1526959.708023977
1755217,1783526.0976267708
1398872,1397883.329390532
882516,880409.2025188529
875940,887913.9463239611
2002823,2025432.3465399924
1431070,1447595.5476220332
1014956,982355.8269320027
766569,786946.2614423224
1367415,1405041.4812471068
1236117,1244083.6386067185
1831219,1810746.6637100119
1320924,1322063.8616339506
1110062,1122253.6560291802
1470671,1457732.7247954588
1348724,1314099.7032958472
1608440,1580327.9637398466
1987733,1967801.9495079545
2050924,2001559.9364603562
1542983,1557699.512889655
2028121,2022228.031292732
1635164,1608142.9366373997
807875,841651.2167892462
1042596,1035881.6577104505
441299,454515.706316508
1515252,1537774.7736442469
1653397,1630718.695982786
946149,921141.1121015194
1571069,1583506.4772800088
1194229,1252799.7670882014
1419012,1426205.679612765
894796,901704.1683570747
1671516,1680111.735601622
897785,871744.3185621634
1048805,1065063.2481042666
1905834,1902804.785110188
907849,897064.9223411229
1632539,1611090.9533410848
1475954,1484422.6440144195
1361010,1363187.8308991573
1379680,1363885.9085752005
1533820,1522390.2049031113
1222470,1235286.3742899243
1051770,1036955.0474981812
1462704,1430322.196128155
1908372,1927914.4397783368
2080982,2108374.601176028
1077026,1065297.7470430338
1942056,1931256.26341056
1896415,1862032.4371118073
1256980,1242832.8241993126
1218968,1222438.154294611
1618865,1609087.8942094988
